Index,Review Title,Rating,Review Text,Date,Verified Purchase
14,F,4.0 out of 5 stars,Works well.,Reviewed in India on 9 December 2023,Verified Purchase
15,Good,4.0 out of 5 stars,Good,Reviewed in India on 28 November 2023,Verified Purchase
16,It is good,4.0 out of 5 stars,.,Reviewed in India on 24 November 2023,Verified Purchase
17,Dental problems,4.0 out of 5 stars,Good for dental problems and related problems.,Reviewed in India on 21 November 2023,Verified Purchase
18,Good,4.0 out of 5 stars,Best product,Reviewed in India on 6 November 2023,Verified Purchase
19,Satisfied,4.0 out of 5 stars,Original product. Good to use and effective,Reviewed in India on 3 October 2023,Verified Purchase
20,Good for oral health,3.0 out of 5 stars,It good for rinsing teeth before sleep. You can use it after drink and it will hide the alcoholic smell .,Reviewed in India on 6 January 2024,Verified Purchase
21,Acrid,3.0 out of 5 stars,It's very much acrid in taste. For me 'mild taste' flavour bottles are far better than these.,Reviewed in India on 14 November 2023,Verified Purchase
22,Using it from a very very long time but this time not satisfied,3.0 out of 5 stars,Taste is differ,Reviewed in India on 26 October 2023,Verified Purchase
23,Mouth wash,3.0 out of 5 stars,Like,Reviewed in India on 25 October 2023,Verified Purchase
24,Keep the gunk away,3.0 out of 5 stars,Good to use twice weekly.Of you use daily there might be chance of damaging your gums.Too acidic for gums.But keeps the plaques away.,Reviewed in India on 27 August 2023,Verified Purchase
25,Just ok,3.0 out of 5 stars,Just ok,Reviewed in India on 15 July 2023,Verified Purchase
26,Good,3.0 out of 5 stars,Value for money,Reviewed in India on 4 June 2023,Verified Purchase
27,Good,3.0 out of 5 stars,Good,Reviewed in India on 10 May 2023,Verified Purchase
28,Good,3.0 out of 5 stars,Good product,Reviewed in India on 6 May 2023,Verified Purchase
29,Best products,3.0 out of 5 stars,Best ressort,Reviewed in India on 16 April 2023,Verified Purchase
30,Doesn't make expections,2.0 out of 5 stars,Don't waste money either your elichi is the best,Reviewed in India on 5 February 2024,Verified Purchase
31,Avoid it,2.0 out of 5 stars,"Too harsh in use. I would strongly recommend ko avoid it, and if you still want, purchase it from local shop. In addition, the packaging was also not enough. The box was damaged. Thanks to amazon they processed the refund. I guess it will be credited in my account in 1-2 days.",Reviewed in India on 15 October 2023,Verified Purchase
32,Product missing,2.0 out of 5 stars,3 order kiye the jisme 2 hi aaye great chori krne ki had hoti hai,Reviewed in India on 28 April 2023,Verified Purchase
33,Not feels like orignal product.,2.0 out of 5 stars,It is very diluted and not concentrated like my last product. Doesn't feel freshness after using it. Seams dublicate product.,Reviewed in India on 23 February 2023,Verified Purchase
34,"If you can find a good substitute, avoid Listerine Mouthwash",2.0 out of 5 stars,"Someone mentioned that Listerine Mouthwash is a hedonic product, but I'm not sure as it isn't ""pleasant"". If you're using a good toothpaste, you really don't need to use this despite what all it claims as a good toothpaste would surely do all of that. Of course, unless you're just looking for something to spend on..... or some other exceptional reason. I won't be able to use toothpaste for an unspecified time and so I decided to brush (without toothpaste) and then use this. But this has a few problems. First of all, rinsing it after 30 seconds may cause some burning sensation. However, that's not too painful. In product description, it's mentioned that for best results, one shouldn't rinse mouth with water or eat and drink anything for 30 minutes post rinse. As it contains alcohol, it's not advisable to swallow it. I find that particularly inconvenient. Colgate Plax claims to have 0% alcohol and cause no burning sensation, so if that's true, I may go for it next time (although it's relatively expensive). Wish I'd done the research before! Hope that I can start using paste again soon. Have to use the 3 bottles though as it's not returnable. As a pack of 3 was cheaper than buying just one, I wisely bought what seemed to be cheaper! How was I supposed to know, right?!",Reviewed in India on 25 January 2023,Verified Purchase
35,Bad smell,2.0 out of 5 stars,Products not up to mark... Can smell better..,Reviewed in India on 19 December 2022,Verified Purchase
36,waste of money,2.0 out of 5 stars,waste.,Reviewed in India on 2 November 2022,Verified Purchase
37,Does not seem original.,2.0 out of 5 stars,I have been using Listerine mouth wash for years. thought i was getting a good deal here but the product seems a bit off. It tastes different.,Reviewed in India on 11 June 2022,Verified Purchase
38,not that good,2.0 out of 5 stars,okay okay.. not good that as expected.,Reviewed in India on 22 January 2022,Verified Purchase
39,Not mild,2.0 out of 5 stars,I dislike it. It cuts the tongue and whole mouth.,Reviewed in India on 12 December 2021,Verified Purchase
40,Listerine: Pack of three doesn't seem original,1.0 out of 5 stars,"The media could not be loaded.I have been using Listerine mouth wash for quite some time and I know how it feels in my mouth (that's what she said). Listerine (not this product), whatever variant it maybe be, has a strong burning sensation. You can feel the alcohol at work if you use the original product. This pack of three mouthwash is so mellow you can clearly feel the difference. Tried scanning the QR code on the bottle, it's not even a QR code, just looks like one. I normally buy it from offline retail stores and the previous pack of three I bought from a Switch Kart (read between the lines), and it felt normal, how the original feels. I would just say Amazon should take a look into it and verify if original products are being sold to the customers.",Reviewed in India on 21 January 2024,Verified Purchase
41,Contains Alcohol,1.0 out of 5 stars,"Don't buy if you are allegric to alcohol. Also it smells and tastes weird, I had headache after using it.",Reviewed in India on 20 December 2023,Verified Purchase
42,Contains alcohol,1.0 out of 5 stars,Weird smell maybe because of alcohol. My previous had no alcohol. So the switch was bad and worse is I bought the bottles.,Reviewed in India on 1 December 2023,Verified Purchase
43,Not good,1.0 out of 5 stars,Creates bubble in mouth. Quality is not good. Go for cavity fighter.,Reviewed in India on 24 November 2023,Verified Purchase
44,Bad and irritating taste I opened yesterday,1.0 out of 5 stars,Bad and irritating taste I opened yesterday .Have to return the the product.,Reviewed in India on 6 November 2023,Verified Purchase
45,Don't like it,1.0 out of 5 stars,Taste is very poor didn't like it.  Please check it all details care full return not able fir this product,Reviewed in India on 18 October 2023,Verified Purchase
46,Worst,1.0 out of 5 stars,Tastes like kerosene….bad experience,Reviewed in India on 17 October 2023,Verified Purchase
47,No freshness,1.0 out of 5 stars,"Maybe we received wrong products , it’s doesn’t give freshness",Reviewed in India on 14 October 2023,Verified Purchase
48,Very disappointed,1.0 out of 5 stars,The day when I used this it was very pathetic..my whole mouth had sore and now I am not satisfied with this mouth wash and even feeling disappointed for using this all the three not came on my usage becoz for more than two weeks I was in pain and I never recommend this to anyone becoz of very strong which burns my mouth,Reviewed in India on 29 July 2023,Verified Purchase
49,Don't buy this,1.0 out of 5 stars,I am using this Listerine product more than 3 years but when I have order list in Amazon the taste of Listerine is like horrible it's totally difficult when we pore into the mouth I am sure I'll be going to expose this product in media I think this is fake product Amazon has to be take care of this and if possible you can give a call to me,Reviewed in India on 1 July 2023,Verified Purchase
